Eight Days a Week,The Beatles,EIGHT DAYS A WEEK,BEATLES,/media/larry/data/music/tabs/Eight Days a Week.pdf,2016-10-22 21:17:35
Golden Slumbers,The Beatles,GOLDEN SLUMBERS,BEATLES,/media/larry/data/music/tabs/Golden Slumbers.pdf,2018-12-25 22:03:38
Got to Get You Into My Life,The Beatles,GOT TO GET YOU INTO MY LIFE,BEATLES,/media/larry/data/music/tabs/Got to Get You Into My Life.pdf,2018-12-25 22:51:39
Here Comes the Sun,The Beatles,HERE COMES THE SUN,BEATLES,/media/larry/data/music/tabs/Here Comes the Sun.pdf,2018-12-25 22:52:26
Hey Jude,The Beatles,HEY JUDE,BEATLES,/media/larry/data/music/tabs/Hey Jude.pdf,2018-06-01 22:31:41
I've Just Seen a Face,The Beatles,I'VE JUST SEEN A FACE,BEATLES,/media/larry/data/music/tabs/I've Just Seen a Face.pdf,2018-07-02 16:19:31
Love Me Do,The Beatles,LOVE ME DO,BEATLES,/media/larry/data/music/tabs/Love Me Do.pdf,2018-09-22 16:53:26
Norwegian Wood,The Beatles,NORWEGIAN WOOD,BEATLES,/media/larry/data/music/tabs/Norwegian Wood.pdf,2018-12-25 21:26:00
Penny Lane,The Beatles,PENNY LANE,BEATLES,/media/larry/data/music/tabs/Penny Lane.pdf,2018-07-13 16:22:28
Rain,The Beatles,RAIN,BEATLES,/media/larry/data/music/tabs/Rain.pdf,2018-09-22 08:52:37
Something,The Beatles,SOMETHING,BEATLES,/media/larry/data/music/tabs/Something.pdf,2018-12-25 23:01:48
Taxman,The Beatles,TAXMAN,BEATLES,/media/larry/data/music/tabs/Taxman.pdf,2018-07-13 16:17:49
Twist And Shout,The Beatles,TWIST AND SHOUT,BEATLES,/media/larry/data/music/tabs/Twist and Shout.pdf,2018-07-13 16:13:05
How Can You Mend a Broken Heart,The Bee Gees,HOW CAN YOU MEND A BROKEN HEART,BEE GEES,/media/larry/data/music/tabs/How Can You Mend a Broken Heart.pdf,2017-04-02 15:45:40
How Deep is Your Love,The Bee Gees,HOW DEEP IS YOUR LOVE,BEE GEES,/media/larry/data/music/tabs/How Deep is Your Love.pdf,2018-08-04 21:53:02
Staying Alive,The Bee Gees,STAYING ALIVE,BEE GEES,/media/larry/data/music/tabs/Staying Alive.pdf,2018-11-02 22:05:15
Stand By Me,Ben E King,STAND BY ME,BEN E KING,/media/larry/data/music/tabs/Stand By Me.pdf,
Into the Night,Benny Mardones,INTO THE NIGHT,BENNY MARDONES,/media/larry/data/music/tabs/Into the Night.pdf,2018-07-28 09:36:04
Power Windows,Billy Falcon,POWER WINDOWS,BILLY FALCON,/media/larry/data/music/tabs/Power Windows.pdf,2014-09-17 21:07:24
White Wedding,Billy Idol,WHITE WEDDING,BILLY IDOL,/media/larry/data/music/tabs/White Wedding.pdf,2018-07-01 20:46:57
It's Still Rock And Roll To Me,Billy Joel,IT'S STILL ROCK AND ROLL TO ME,BILLY JOEL,/media/larry/data/music/tabs/It's Still Rock and Roll to Me.pdf,2018-06-16 21:05:25
Just the Way You Are,Billy Joel,JUST THE WAY YOU ARE,BILLY JOEL,/media/larry/data/music/tabs/Just the Way You Are.pdf,2017-10-15 22:24:02
Piano Man,Billy Joel,PIANO MAN,BILLY JOEL,/media/larry/data/music/tabs/Piano Man.pdf,2014-08-21 22:06:48
Highway Song,Blackfoot,HIGHWAY SONG,BLACKFOOT,/media/larry/data/music/tabs/Highway Song.pdf,
Call Me,Blondie,CALL ME,BLONDIE,/media/larry/data/music/tabs/Call Me.pdf,2018-07-31 19:43:32
Dreaming,Blondie,DREAMING.PDF,BLONDIE,/media/larry/data/music/tabs/Dreaming.pdf,2017-07-09 20:55:04
Heart of Glass,Blondie,HEART OF GLASS,BLONDIE,/media/larry/data/music/tabs/Heart of Glass.pdf,2018-02-03 21:28:33
One Way Or Another,Blondie,ONE WAY OR ANOTHER,BLONDIE,/media/larry/data/music/tabs/One Way or Another.pdf,2018-07-31 20:23:10
Dont Fear the Reaper,Blue Oyster Cult,DONT FEAR THE REAPER,BLUE OYSTER CULT,/media/larry/data/music/tabs/Dont Fear the Reaper.pdf,
5 Days in May,Blue Rodeo,5 DAYS IN MAY,BLUE RODEO,/media/larry/data/music/tabs/5 Days in May.pdf,2019-02-04 19:40:25
Hasn't Hit Me Yet,Blue Rodeo,HASN'T HIT ME YET,BLUE RODEO,/media/larry/data/music/tabs/Hasn't Hit Me Yet.pdf,2017-11-28 22:14:13
How Long,Blue Rodeo,HOW LONG,BLUE RODEO,/media/larry/data/music/tabs/How Long.pdf,2018-08-04 21:51:37
Lost Together,Blue Rodeo,LOST TOGETHER,BLUE RODEO,/media/larry/data/music/tabs/Lost Together.pdf,2018-07-29 20:11:24
Rose Colored Glasses,Blue Rodeo,ROSE COLORED GLASSES,BLUE RODEO,/media/larry/data/music/tabs/Rose Colored Glasses.pdf,2018-07-28 07:44:56
Til I Am Myself Again,Blue Rodeo,TIL I AM MYSELF AGAIN,BLUE RODEO,/media/larry/data/music/tabs/Til I Am Myself Again.pdf,2017-11-28 22:40:56
Try,Blue Rodeo,TRY,BLUE RODEO,/media/larry/data/music/tabs/Try.pdf,2017-11-28 22:43:58
What Am I Doing Here,Blue Rodeo,WHAT AM I DOING HERE,BLUE RODEO,/media/larry/data/music/tabs/What am I Doing Here.pdf,2017-04-14 21:24:00
Ride Captain Ride,Blues Image,RIDE CAPTAIN RIDE,BLUES IMAGE,/media/larry/data/music/tabs/Ride Captain Ride.pdf,2018-12-26 09:11:29
All Along the Watchtower,Bob Dylan,ALL ALONG THE WATCHTOWER,BOB DYLAN,/media/larry/data/music/tabs/All Along the Watchtower.pdf,2015-11-28 20:44:59
Forever Young,Bob Dylan,FOREVER YOUNG,BOB DYLAN,/media/larry/data/music/tabs/Forever Young.pdf,2018-07-29 20:12:50
Froggie Went a Courtin,Bob Dylan,FROGGIE WENT A COURTIN,BOB DYLAN,/media/larry/data/music/tabs/Froggie Went A Courtin.pdf,
My Back Pages,Bob Dylan,MY BACK PAGES,BOB DYLAN,/media/larry/data/music/tabs/My Back Pages.pdf,2016-12-27 19:24:51
Against the Wind,Bob Seger,AGAINST THE WIND,BOB SEGER,/media/larry/data/music/tabs/Against the Wind.pdf,2019-02-03 17:18:01
Night Moves,Bob Seger,NIGHT MOVES,BOB SEGER,/media/larry/data/music/tabs/Night Moves.pdf,2018-08-04 21:14:27
We've Got Tonight,Bob Seger,WE'VE GOT TONIGHT,BOB SEGER,/media/larry/data/music/tabs/We've Got Tonight.pdf,
Ebony Eyes,Bob Welch,EBONY EYES,BOB WELCH,/media/larry/data/music/tabs/Ebony Eyes.pdf,2016-05-28 20:21:40
Sentimental Lady,Bob Welch,SENTIMENTAL LADY,BOB WELCH,/media/larry/data/music/tabs/Sentimental Lady.pdf,2018-12-01 09:57:30
I Fought the Law,Bobby Fuller,I FOUGHT THE LAW,BOBBY FULLER,/media/larry/data/music/tabs/I Fought the Law.pdf,2016-10-22 21:19:47
Dead Or Alive,Bon Jovi,DEAD OR ALIVE,BON JOVI,/media/larry/data/music/tabs/Dead or Alive.pdf,2017-04-02 16:05:20
Foreplay,Boston,FOREPLAY,BOSTON,/media/larry/data/music/tabs/Foreplay.pdf,2017-04-14 20:37:55
More Than a Feeling,Boston,MORE THAN A FEELING,BOSTON,/media/larry/data/music/tabs/More Than a Feeling.pdf,
Rock And Roll Band,Boston,ROCK AND ROLL BAND,BOSTON,/media/larry/data/music/tabs/Rock and Roll Band.pdf,2016-09-10 21:14:37
Lovers In a Dangerous Time,Bruce Cockburn,LOVERS IN A DANGEROUS TIME,BRUCE COCKBURN,/media/larry/data/music/tabs/Lovers in a Dangerous Time.pdf,2017-07-09 22:04:45
Blinded By the Light,Bruce Springsteen,BLINDED BY THE LIGHT,BRUCE SPRINGSTEEN,/media/larry/data/music/tabs/Blinded By the Light.pdf,2018-09-21 20:24:12
Born To Run,Bruce Springsteen,BORN TO RUN,BRUCE SPRINGSTEEN,/media/larry/data/music/tabs/Born to Run.pdf,2018-07-28 19:27:26
Dancing in the Dark,Bruce Springsteen,DANCING IN THE DARK,BRUCE SPRINGSTEEN,/media/larry/data/music/tabs/Dancing in the Dark.pdf,
Glory Days,Bruce Springsteen,GLORY DAYS,BRUCE SPRINGSTEEN,/media/larry/data/music/tabs/Glory Days.pdf,2018-07-01 21:10:33
Straight From the Heart,Bryan Adams,STRAIGHT FROM THE HEART,BRYAN ADAMS,/media/larry/data/music/tabs/Straight From the Heart.pdf,2017-10-15 22:38:11
Summer Of 69,Bryan Adams,SUMMER OF 69,BRYAN ADAMS,/media/larry/data/music/tabs/Summer of 69.pdf,
Act Naturally,Buck Owens,ACT NATURALLY,BUCK OWENS,/media/larry/data/music/tabs/Act Naturally.pdf,2018-10-27 08:25:23
Oh Boy,Buddy Holly,OH BOY,BUDDY HOLLY,/media/larry/data/music/tabs/Oh Boy.pdf,2018-07-01 08:08:18
Turn Turn Turn,The Byrds,TURN TURN TURN,BYRDS,/media/larry/data/music/tabs/Turn Turn Turn.pdf,2015-03-15 13:19:12
Going Up the Country,Canned Heat,GOING UP THE COUNTRY,CANNED HEAT,/media/larry/data/music/tabs/Going Up the Country.pdf,2018-07-01 21:07:15
Anticipation,Carly Simon,ANTICIPATION,CARLY SIMON,/media/larry/data/music/tabs/Anticipation.pdf,2019-01-04 21:38:39
It’s Too Late Baby,Carole King,ITS TOO LATE BABY,CAROLE KING,/media/larry/data/music/tabs/It's Too Late Baby.pdf,2019-01-04 21:42:50
A Summer Song,Chad and Jeremy,SUMMER SONG,CHAD AND JEREMY,/media/larry/data/music/tabs/A Summer Song.pdf,2019-01-04 21:47:56
I Want You To Want Me,Cheap Trick,I WANT YOU TO WANT ME,CHEAP TRICK,/media/larry/data/music/tabs/I Want You to Want Me.pdf,2015-03-15 13:25:45
Surrender,Cheap Trick,SURRENDER,CHEAP TRICK,/media/larry/data/music/tabs/Surrender.pdf,2018-09-15 22:24:31
Colour My World,Chicago,COLOUR MY WORLD,CHICAGO,/media/larry/data/music/tabs/Colour My World.pdf,2015-10-26 22:05:39
Fly At Night,Chilliwack,FLY AT NIGHT,CHILLIWACK,/media/larry/data/music/tabs/Fly at Night.pdf,2019-01-04 22:00:43
Dont Pay the Ferryman,Chris DeBurgh,DONT PAY THE FERRYMAN,CHRIS DEBURGH,/media/larry/data/music/tabs/Dont Pay the Ferryman.pdf,2018-02-19 15:32:41
Sailing,Christopher Cross,SAILING,CHRISTOPHER CROSS,/media/larry/data/music/tabs/Sailing.pdf,2019-01-04 22:14:00
Johnny B Goode,Chuck Berry,JOHNNY B GOODE,CHUCK BERRY,/media/larry/data/music/tabs/Johnny B Goode.pdf,
Couldn't Get it Right,Climax Blues Band,COULDN'T GET IT RIGHT,CLIMAX BLUES BAND,/media/larry/data/music/tabs/Couldn't Get it Right.pdf,2019-01-04 22:15:07
Viva La Vida,Coldplay,VIVA LA VIDA,COLDPLAY,/media/larry/data/music/tabs/Viva La Vida.pdf,2019-02-03 23:04:04
Hot Rod Lincoln,Commander Cody and his Lost Planet Airmen,HOT ROD LINCOLN,COMMANDER CODY AND HIS LOST PLANET AIRMEN,/media/larry/data/music/tabs/Hot Rod Lincoln.pdf,2019-01-04 22:20:14
Easy,The Commodores,EASY,COMMODORES,/media/larry/data/music/tabs/Easy.pdf,2018-09-15 22:16:13
Sail On,The Commodores,SAIL ON,COMMODORES,/media/larry/data/music/tabs/Sail On.pdf,2018-07-01 19:26:18
Bad Moon Rising,Creedence Clearwater Revival,BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Bad Moon Rising.pdf,2018-07-21 21:57:28
Born On the Bayou,Creedence Clearwater Revival,BORN ON THE BAYOU,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Born on the Bayou.pdf,2018-07-21 20:06:07
Down on the Corner,Creedence Clearwater Revival,DOWN ON THE CORNER,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Down on the Corner.pdf,2018-07-21 20:11:58
Fortunate Son,Creedence Clearwater Revival,FORTUNATE SON,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Fortunate Son.pdf,2019-01-08 19:32:21
Green River,Creedence Clearwater Revival,GREEN RIVER,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Green River.pdf,2018-07-21 20:32:44
Have You Ever Seen the Rain,Creedence Clearwater Revival,HAVE YOU EVER SEEN THE RAIN,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Have You Ever Seen the Rain.pdf,2018-07-31 20:07:04
Lodi,Creedence Clearwater Revival,LODI,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Lodi.pdf,2019-01-03 23:34:58
Lookin' Out My Back Door,Creedence Clearwater Revival,LOOKIN' OUT MY BACK DOOR,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Lookin' Out My Back Door.pdf,2018-07-21 21:57:29
Proud Mary,Creedence Clearwater Revival,PROUD MARY,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Proud Mary.pdf,2018-08-19 19:37:51
Up Around the Bend,Creedence Clearwater Revival,UP AROUND THE BEND,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Up Around the Bend.pdf,2018-07-30 20:05:33
Who'll Stop the Rain,Creedence Clearwater Revival,WHO'LL STOP THE RAIN,CREEDENCE CLEARWATER REVIVAL,/media/larry/data/music/tabs/Who'll Stop the Rain.pdf,2018-09-30 13:27:25
Sh Boom,The Crew-Cuts,SH BOOM,CREW-CUTS,/media/larry/data/music/tabs/Sh Boom.pdf,2018-07-02 16:24:57
Just a Song Before I Go,Crosby Stills & Nash,JUST A SONG BEFORE I GO,CROSBY STILLS & NASH,/media/larry/data/music/tabs/Just a Song Before I Go.pdf,2017-08-13 17:22:51
Southern Cross,Crosby Stills & Nash,SOUTHERN CROSS,CROSBY STILLS & NASH,/media/larry/data/music/tabs/Southern Cross.pdf,2018-06-22 19:31:43
Wasted on the Way,Crosby Stills & Nash,WASTED ON THE WAY,CROSBY STILLS & NASH,/media/larry/data/music/tabs/Wasted on the Way.pdf,2017-05-12 23:46:03
Teach Your Children,Crosby Stills Nash & Young,TEACH YOUR CHILDREN,CROSBY STILLS NASH & YOUNG,/media/larry/data/music/tabs/Teach Your Children.pdf,2018-09-22 19:43:18
Dont Dream It's Over,Crowded House,DONT DREAM IT'S OVER,CROWDED HOUSE,/media/larry/data/music/tabs/Dont Dream It's Over.pdf,2017-07-09 21:46:02
Something So Strong,Crowded House,SOMETHING SO STRONG,CROWDED HOUSE,/media/larry/data/music/tabs/Something so Strong.pdf,2015-01-09 20:05:45
Friday I'm in Love,The Cure,FRIDAY I'M IN LOVE,CURE,/media/larry/data/music/tabs/Friday I'm In Love.pdf,2017-04-02 16:15:47
Red Rubber Ball,Cyrcle,RED RUBBER BALL,CYRCLE,/media/larry/data/music/tabs/Red Rubber Ball.pdf,2016-09-07 23:20:57
Same Old Lang Syne,Dan Fogelberg,SAME OLD LANG SYNE,DAN FOGELBERG,/media/larry/data/music/tabs/Same Old Lang Syne.pdf,2018-07-01 19:30:55
Because,Dave Clark Five,BECAUSE,DAVE CLARK FIVE,/media/larry/data/music/tabs/Because.pdf,2018-10-27 07:36:26
We Just Disagree,Dave Mason,WE JUST DISAGREE,DAVE MASON,/media/larry/data/music/tabs/We Just Disagree.pdf,2017-08-13 17:28:03
Changes,David Bowie,CHANGES,DAVID BOWIE,/media/larry/data/music/tabs/Changes.pdf,2018-11-24 09:58:11
Heroes,David Bowie,HEROES,DAVID BOWIE,/media/larry/data/music/tabs/Heroes.pdf,2018-11-24 13:15:07
The Man Who Sold the World,David Bowie,MAN WHO SOLD THE WORLD,DAVID BOWIE,/media/larry/data/music/tabs/The Man Who Sold the World.pdf,2018-08-31 22:07:48
Space Oddity,David Bowie,SPACE ODDITY,DAVID BOWIE,/media/larry/data/music/tabs/Space Oddity.pdf,2018-08-19 16:43:16
Starman,David Bowie,STARMAN,DAVID BOWIE,/media/larry/data/music/tabs/Starman.pdf,2018-11-24 09:53:49
Downtown Came Uptown,David Wilcox,DOWNTOWN CAME UPTOWN,DAVID WILCOX,/media/larry/data/music/tabs/Downtown Came Uptown.pdf,2016-05-28 20:09:39
Breakfast at Tiffany's,Deep Blue Something,BREAKFAST AT TIFFANY'S,DEEP BLUE SOMETHING,/media/larry/data/music/tabs/Breakfast at Tiffany's.pdf,2018-11-24 15:38:57
Runaway,Del Shannon,RUNAWAY,DEL SHANNON,/media/larry/data/music/tabs/Runaway.pdf,2016-09-07 23:24:59
Sausalito Summer Night,Diesel,SAUSALITO SUMMER NIGHT,DIESEL,/media/larry/data/music/tabs/Sausalito Summer Night.pdf,2018-12-27 22:32:50
The Wanderer,Dionne,WANDERER,DIONNE,/media/larry/data/music/tabs/The Wanderer.pdf,2016-08-26 22:02:37
Sultans Of Swing,Dire Straits,SULTANS OF SWING,DIRE STRAITS,/media/larry/data/music/tabs/Sultans of Swing.pdf,
Twisting By the Pool,Dire Straits,TWISTING BY THE POOL,DIRE STRAITS,/media/larry/data/music/tabs/Twisting By the Pool.pdf,2015-11-28 22:24:08
Walk Of Life,Dire Straits,WALK OF LIFE,DIRE STRAITS,/media/larry/data/music/tabs/Walk of Life.pdf,2018-09-15 22:12:19
Hurdy Gurdy Man,Donovan,HURDY GURDY MAN,DONOVAN,/media/larry/data/music/tabs/Hurdy Gurdy Man.pdf,2017-08-11 22:35:38
Black Water,The Doobie Brothers,BLACK WATER,DOOBIE BROTHERS,/media/larry/data/music/tabs/Black Water.pdf,2018-12-27 22:32:21
China Grove,The Doobie Brothers,CHINA GROVE,DOOBIE BROTHERS,/media/larry/data/music/tabs/China Grove.pdf,2018-07-31 19:51:04
Jesus Is Just Alright,The Doobie Brothers,JESUS IS JUST ALRIGHT,DOOBIE BROTHERS,/media/larry/data/music/tabs/Jesus is Just Alright.pdf,2018-12-27 22:15:52
Listen To the Music,The Doobie Brothers,LISTEN TO THE MUSIC,DOOBIE BROTHERS,/media/larry/data/music/tabs/Listen to the Music.pdf,2018-12-27 22:06:15
Long Train Runnin',The Doobie Brothers,LONG TRAIN RUNNIN',DOOBIE BROTHERS,/media/larry/data/music/tabs/Long Train Runnin'.pdf,2018-12-27 22:06:12
What a Fool Believes,The Doobie Brothers,WHAT A FOOL BELIEVES,DOOBIE BROTHERS,/media/larry/data/music/tabs/What a Fool Believes.pdf,2019-01-08 19:35:38
Cover Of the Rolling Stone,Dr Hook and the Medicine Show,COVER OF THE ROLLING STONE,DR HOOK AND THE MEDICINE SHOW,/media/larry/data/music/tabs/Cover of the Rolling Stone.pdf,2016-09-25 19:24:42
Under the Boardwalk,The Drifters,UNDER THE BOARDWALK,DRIFTERS,/media/larry/data/music/tabs/Under the Boardwalk.pdf,2016-10-29 21:00:58
Rio,Duran Duran,RIO,DURAN DURAN,/media/larry/data/music/tabs/Rio.pdf,2019-02-03 23:03:37
Best Of My Love,The Eagles,BEST OF MY LOVE,EAGLES,/media/larry/data/music/tabs/Best of My Love.pdf,2019-02-03 23:03:34
Hotel California,The Eagles,HOTEL CALIFORNIA,EAGLES,/media/larry/data/music/tabs/Hotel California.pdf,2018-07-11 08:40:08
Take It Easy,The Eagles,TAKE IT EASY,EAGLES,/media/larry/data/music/tabs/Take it Easy.pdf,2018-09-22 19:32:20
Witchy Woman,The Eagles,WITCHY WOMAN,EAGLES,/media/larry/data/music/tabs/Witchy Woman.pdf,2019-02-03 23:05:36
Friday On My Mind,The Easy-Beats,FRIDAY ON MY MIND,EASY-BEATS,/media/larry/data/music/tabs/Friday on My Mind.pdf,2018-07-30 20:25:36
Summertime Blues,Eddy Cochrane,SUMMERTIME BLUES,EDDY COCHRANE,/media/larry/data/music/tabs/Summertime Blues.pdf,
Love Goes Where My Rosemary Goes,Edison Lighthouse,LOVE GOES WHERE MY ROSEMARY GOES,EDISON LIGHTHOUSE,/media/larry/data/music/tabs/Love Goes Where My Rosemary Goes.pdf,2018-07-30 20:32:13
Mr Blue Sky,Electric Light Orchestra,MR BLUE SKY,ELECTRIC LIGHT ORCHESTRA,/media/larry/data/music/tabs/Mr Blue Sky.pdf,2018-12-25 21:06:42
Rock And Roll Is King,Electric Light Orchestra,ROCK AND ROLL IS KING,ELECTRIC LIGHT ORCHESTRA,/media/larry/data/music/tabs/Rock and Roll is King.pdf,2018-06-22 20:32:55
Bennie And the Jets,Elton John,BENNIE AND THE JETS,ELTON JOHN,/media/larry/data/music/tabs/Bennie and the Jets.pdf,2018-12-03 20:19:45
Crocodile Rock,Elton John,CROCODILE ROCK,ELTON JOHN,/media/larry/data/music/tabs/Crocodile Rock.pdf,2018-12-03 21:01:29
Daniel,Elton John,DANIEL,ELTON JOHN,/media/larry/data/music/tabs/Daniel.pdf,2018-12-03 21:10:45
Goodbye Yellow Brick Road,Elton John,GOODBYE YELLOW BRICK ROAD,ELTON JOHN,/media/larry/data/music/tabs/Goodbye Yellow Brick Road.pdf,2019-01-08 19:27:40
Rocket Man,Elton John,ROCKET MAN,ELTON JOHN,/media/larry/data/music/tabs/Rocket Man.pdf,2018-12-26 08:57:40
All Shook Up,Elvis Presley,ALL SHOOK UP,ELVIS PRESLEY,/media/larry/data/music/tabs/All Shook Up.pdf,2018-05-19 19:06:51
Can't Help Falling In Love,Elvis Presley,CAN'T HELP FALLING IN LOVE,ELVIS PRESLEY,/media/larry/data/music/tabs/Can't Help Falling in Love.pdf,2018-07-02 10:59:50
Good Luck Charm,Elvis Presley,GOOD LUCK CHARM,ELVIS PRESLEY,/media/larry/data/music/tabs/Good Luck Charm.pdf,2016-09-10 19:47:21
The Last Waltz,Engelbert Humperdink,LAST WALTZ,ENGELBERT HUMPERDINK,/media/larry/data/music/tabs/The Last Waltz.pdf,2018-12-27 22:49:47
I'd Really Love To See You Tonight,England Dan and John Ford Coley,I'D REALLY LOVE TO SEE YOU TONIGHT,ENGLAND DAN AND JOHN FORD COLEY,/media/larry/data/music/tabs/I'd Really Love to See You Tonight.pdf,2018-08-04 21:49:01
Promises,Eric Clapton,PROMISES,ERIC CLAPTON,/media/larry/data/music/tabs/Promises.pdf,2019-02-03 23:03:46
